Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uf,C_0805_2012Metric,-103.981250,-129.381250,0.000000,bottom
C2,22uF,C_0805_2012Metric,-88.900000,-146.050000,0.000000,bottom
C3,22uF,C_0805_2012Metric,-88.900000,-138.112500,180.000000,bottom
C4,0.1uF,C_0805_2012Metric,-101.600000,-157.162500,90.000000,bottom
C5,0.1uf,C_0805_2012Metric,-83.820000,-163.830000,45.000000,bottom
C6,0.1uf,C_0805_2012Metric,-92.868750,-130.175000,90.000000,bottom
C7,1uF,C_0805_2012Metric,-96.043750,-129.381250,180.000000,bottom
C8,0.1uf,C_0805_2012Metric,-93.662500,-172.243750,180.000000,bottom
C9,10uf,C_0805_2012Metric,165.893750,-132.556250,270.000000,bottom
C10,22uF,C_0805_2012Metric,184.943750,-158.750000,180.000000,bottom
C11,22uF,C_0805_2012Metric,184.943750,-166.687500,180.000000,bottom
C12,0.1uF,C_0805_2012Metric,174.625000,-186.531250,180.000000,bottom
C13,0.1uf,C_0805_2012Metric,157.956250,-178.593750,45.000000,bottom
C14,0.1uf,C_0805_2012Metric,161.131250,-172.243750,270.000000,bottom
C15,1uF,C_0805_2012Metric,177.800000,-173.831250,90.000000,bottom
C16,0.1uf,C_0805_2012Metric,164.306250,-190.500000,315.000000,bottom
D1,D_Small,D_SOD-323F,-57.150000,-117.029500,270.000000,bottom
D2,D_Small,D_SOD-323F,-57.150000,-136.017000,270.000000,bottom
D3,D_Small,D_SOD-323F,-38.100000,-117.029500,270.000000,bottom
D4,D_Small,D_SOD-323F,-38.100000,-136.017000,270.000000,bottom
D5,D_Small,D_SOD-323F,-111.125000,-127.000000,180.000000,bottom
D6,D_Small,D_SOD-323F,-107.156250,-163.512500,180.000000,bottom
D7,D_Small,D_SOD-323F,-101.092000,-184.150000,180.000000,bottom
D8,D_Small,D_SOD-323F,-80.962500,-117.856000,270.000000,bottom
D9,D_Small,D_SOD-323F,-80.962500,-136.017000,270.000000,bottom
D10,D_Small,D_SOD-323F,-81.026000,-156.464000,270.000000,bottom
D11,D_Small,D_SOD-323F,-80.962500,-174.117000,270.000000,bottom
D12,D_Small,D_SOD-323F,-76.200000,-193.167000,270.000000,bottom
D13,D_Small,D_SOD-323F,-57.150000,-155.067000,270.000000,bottom
D14,D_Small,D_SOD-323F,-57.150000,-174.117000,270.000000,bottom
D15,D_Small,D_SOD-323F,-57.150000,-193.167000,270.000000,bottom
D16,D_Small,D_SOD-323F,-38.100000,-155.067000,270.000000,bottom
D17,D_Small,D_SOD-323F,-38.100000,-174.117000,270.000000,bottom
D18,D_Small,D_SOD-323F,-38.100000,-193.167000,270.000000,bottom
D19,D_Small,D_SOD-323F,-19.050000,-117.030500,270.000000,bottom
D20,D_Small,D_SOD-323F,-19.050000,-136.017000,270.000000,bottom
D21,D_Small,D_SOD-323F,-19.050000,-155.067000,270.000000,bottom
D22,D_Small,D_SOD-323F,-19.050000,-174.117000,270.000000,bottom
D23,D_Small,D_SOD-323F,-19.050000,-193.167000,270.000000,bottom
D24,D_Small,D_SOD-323F,0.000000,-117.030500,270.000000,bottom
D25,D_Small,D_SOD-323F,0.000000,-136.017000,270.000000,bottom
D26,D_Small,D_SOD-323F,0.000000,-155.067000,270.000000,bottom
D27,D_Small,D_SOD-323F,0.000000,-174.117000,270.000000,bottom
D28,D_Small,D_SOD-323F,0.000000,-193.167000,270.000000,bottom
D29,D_Small,D_SOD-323F,22.225000,-190.500000,0.000000,bottom
D30,D_Small,D_SOD-323F,24.606250,-115.887500,0.000000,bottom
D31,D_Small,D_SOD-323F,19.050000,-136.017000,270.000000,bottom
D32,D_Small,D_SOD-323F,19.050000,-155.067000,270.000000,bottom
D33,D_Small,D_SOD-323F,19.050000,-174.117000,270.000000,bottom
D34,D_Small,D_SOD-323F,42.068750,-115.887500,180.000000,bottom
D35,D_Small,D_SOD-323F,42.068750,-134.937500,180.000000,bottom
D36,D_Small,D_SOD-323F,42.068750,-153.987500,180.000000,bottom
D37,D_Small,D_SOD-323F,42.068750,-173.037500,180.000000,bottom
D38,D_Small,D_SOD-323F,42.068750,-192.087500,180.000000,bottom
D39,D_Small,D_SOD-323F,64.293750,-116.967000,270.000000,bottom
D40,D_Small,D_SOD-323F,57.150000,-136.017000,270.000000,bottom
D41,D_Small,D_SOD-323F,57.150000,-155.067000,270.000000,bottom
D42,D_Small,D_SOD-323F,57.150000,-174.117000,270.000000,bottom
