Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0402_1005Metric,179.845625,-153.127500,225.000000,bottom
C2,100nF,C_0402_1005Metric,187.115625,-158.337500,135.000000,bottom
C3,1uF,C_0402_1005Metric,179.685625,-150.062500,90.000000,bottom
C4,100nF,C_0402_1005Metric,176.045625,-160.387500,315.000000,bottom
C5,1uF,C_0402_1005Metric,185.155625,-164.407500,45.000000,bottom
C6,100nF,C_0402_1005Metric,180.545625,-153.827500,225.000000,bottom
C7,1uF,C_0402_1005Metric,172.865625,-128.487500,180.000000,bottom
C8,4.7uF,C_0402_1005Metric,189.115625,-154.337500,90.000000,bottom
C9,10nF,C_0402_1005Metric,184.455625,-163.697500,45.000000,bottom
C10,100nF,C_0402_1005Metric,187.115625,-160.397500,225.000000,bottom
C11,4.7uF,C_0402_1005Metric,191.835625,-155.807500,0.000000,bottom
C12,1uF,C_0402_1005Metric,175.535625,-135.567500,180.000000,bottom
C13,100nF,C_0402_1005Metric,128.190625,-118.268750,270.000000,bottom
C14,100nF,C_0402_1005Metric,75.803125,-124.618750,180.000000,bottom
C15,100nF,C_0402_1005Metric,56.753125,-162.718750,180.000000,bottom
C16,100nF,C_0402_1005Metric,75.803125,-200.818750,180.000000,bottom
C17,4.7uF,C_0402_1005Metric,-95.314375,-129.107500,225.000000,bottom
C18,100nF,C_0402_1005Metric,-95.294375,-130.477500,225.000000,bottom
C19,1uF,C_0402_1005Metric,-101.414375,-126.677500,90.000000,bottom
C20,4.7uF,C_0402_1005Metric,-93.084375,-124.337500,180.000000,bottom
C21,4.7uF,C_0402_1005Metric,-90.104375,-121.487500,0.000000,bottom
C22,100nF,C_0402_1005Metric,-88.547322,-136.840447,225.000000,bottom
C23,1uF,C_0402_1005Metric,-90.474375,-141.207500,45.000000,bottom
C24,100nF,C_0402_1005Metric,-88.744375,-134.977500,135.000000,bottom
C25,10nF,C_0402_1005Metric,-91.134375,-140.527500,45.000000,bottom
C26,100nF,C_0402_1005Metric,-99.814375,-137.027500,315.000000,bottom
C27,1uF,C_0402_1005Metric,-102.304375,-121.657500,0.000000,bottom
C28,1uF,C_0402_1005Metric,-102.894375,-126.107500,0.000000,bottom
C29,100nF,C_0402_1005Metric,-57.635000,-124.618750,180.000000,bottom
C30,100nF,C_0402_1005Metric,128.190625,-194.468750,270.000000,bottom
C31,100nF,C_0402_1005Metric,0.396875,-124.618750,0.000000,bottom
C32,100nF,C_0402_1005Metric,181.768750,-176.212500,325.000000,bottom
C33,100nF,C_0402_1005Metric,18.653125,-162.718750,180.000000,bottom
C34,100nF,C_0402_1005Metric,177.655625,-132.407500,90.000000,bottom
C35,100nF,C_0402_1005Metric,-0.396875,-200.818750,180.000000,bottom
C36,100nF,C_0402_1005Metric,-57.943750,-201.612500,180.000000,bottom
C37,100nF,C_0402_1005Metric,-110.728125,-177.800000,215.000000,bottom
C38,100nF,C_0402_1005Metric,-111.521875,-135.731250,125.000000,bottom
C39,100nF,C_0402_1005Metric,109.315625,-156.237500,270.000000,bottom
C40,100nF,C_0402_1005Metric,-38.084375,-163.337500,270.000000,bottom
C41,100nF,C_0402_1005Metric,133.015625,-125.937500,90.000000,bottom
C42,100nF,C_0402_1005Metric,-80.384375,-122.837500,90.000000,bottom
C47,4.7nF,C_0402_1005Metric,-88.900000,-115.887500,270.000000,bottom
C48,4.7nF,C_0402_1005Metric,159.146875,-114.696875,270.000000,bottom
D1,D_Schottky_x2_KCom_AAK,D_SOT-23_AAK,-63.764375,-117.027500,270.000000,bottom
D2,D_Schottky_x2_KCom_AAK,D_SOT-23_AAK,-58.737500,-136.128125,270.000000,bottom
D3,D_Schottky_x2_KCom_AAK,D_SOT-23_AAK,-58.737500,-155.178125,270.000000,bottom
D4,D_Schottky_x2_KCom_AAK,D_SOT-23_AAK,-58.737500,-174.228125,270.000000,bottom
D5,D_Small,D_SOD-323F,-99.254375,-141.577500,225.000000,bottom
D6,D_Small,D_SOD-323F,-98.344375,-143.467500,225.000000,bottom
D7,D_Small,D_SOD-323F,-84.084375,-168.237500,180.000000,bottom
D8,D_Schottky_x2_KCom_AAK,D_SOT-23_AAK,-58.737500,-190.896875,270.000000,bottom
D9,D_Schottky_x2_KCom_AAK,D_SOT-23_AAK,-20.637500,-117.078125,270.000000,bottom
D10,D_Schottky_x2_KCom_AAK,D_SOT-23_AAK,-20.637500,-136.128125,270.000000,bottom
D11,D_Schottky_x2_KCom_AAK,D_SOT-23_AAK,-20.637500,-155.178125,270.000000,bottom
D12,D_Schottky_x2_KCom_AAK,D_SOT-23_AAK,-20.637500,-174.228125,270.000000,bottom
D13,D_Schottky_x2_KCom_AAK,D_SOT-23_AAK,-20.637500,-193.278125,270.000000,bottom
